1.督脈 ,,,,,,,
経絡, 経穴,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
任脈 ,華蓋 ,前胸部、前正中線上、[[第１肋間]]と同じ高さ , , ,鎖骨上N・肋間N(前皮枝) ,内胸Aの技 ,C 
任脈 ,璇璣 ,前胸部、前正中線上、[[頸窩(胸骨上窩)の下方１寸 ]], , ,鎖骨上N・肋間N(前皮枝) ,内胸Aの技 ,C 
任脈 ,天突 ,前頸部、前正中線上、[[頸窩(胸骨上窩)]]の中央 , ,胸骨舌骨筋<頭Nワナ> ,頸横N ,下甲状腺A ,S 
任脈 ,廉泉 ,前頸部、前正中線上、喉頭隆起上方、[[舌骨]]の上方陥凹部 , , ,頸横N ,上甲状腺A ,S 
任脈 ,承漿 ,顔面部、[[オトガイ唇溝]]中央の陥凹部 , ,口輪筋・下唇下制筋<顔面N(下顎縁枝)> ,下顎N(三叉N第3枝) ,下唇A ,A 
3.手の太陰肺経 ,,,,,,,
経絡,経穴 ,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
手の太陰肺経 ,中府 ,前胸部、[[第１肋間]]と同じ高さ、鎖骨下窩の外側、[[前正中線の外方６寸 ]],【肺の募穴】 ,大胸筋・小胸筋<内側・外側胸筋N> ,鎖骨上N ,胸肩峰A・外側胸A ,S 
手の太陰肺経 ,雲門 ,前胸部、[[鎖骨下窩]]の陥凹部、烏口突起の内方、[[前正中線の外方６寸 ]], , ,鎖骨上N ,胸肩峰A・外側胸A ,C 
手の太陰肺経 ,天府 ,上腕前外側、[[上腕二頭筋外側縁]]、腋窩横紋前端の[[下方３寸 ]], ,上腕二頭筋・上腕筋<筋皮N> ,上外側上腕皮N ,上腕Aの枝 ,C 
手の太陰肺経 ,侠白 ,上腕前外側、[[上腕二頭筋外側縁]]、腋窩横紋前端の[[下方４寸 ]], ,上腕二頭筋・上腕筋<筋皮N> ,上外側上腕皮N ,上腕Aの技 ,C 
手の太陰肺経 ,尺沢 ,肘前部、[[肘窩横紋上]]、[[上腕二頭筋腱外方]]の陥凹部 ,【肺経の合水穴】 ,上腕二頭筋腱・上腕筋<筋皮N> ,外側前腕皮N ,橈側反回A(橈骨Aの技) ,S 
