1.督脈 ,,,,,,,
経絡, 経穴,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
足の太陽膀胱経,跗陽 ,下腿後外側、腓骨とアキレス腱の間、[[崑崙の上方３寸 ]],【陽蹻脈の郄穴】 ,短腓骨筋<浅腓骨N>/ヒラメ筋<脛骨N>/アキレス腱 ,腓腹N ,腓骨A ,B 
足の太陽膀胱経,崑崙 ,足関節後外側、[[外果尖とアキレス腱の間]]の陥凹部 ,【膀胱経の経火穴】 ,アキレス腱 ,腓腹N ,腓骨A ,S 
足の太陽膀胱経,僕参 ,足外側、[[崑崙の下方]]、踵骨外側、[[赤白肉際 ]], , ,外側踵骨枝(非腹Nの技) ,踵骨枝(腓骨Aの枝) ,C 
足の太陽膀胱経,申脈 ,足外側、[[外果尖の直下]]、外果下縁と踵骨の間の陥凹部 ,【八脈交会穴】 ,長腓骨筋腱・短腓骨筋腱<浅腓骨N> ,外側足背皮N ,外果A網(腓骨Aの技) ,A 
足の太陽膀胱経,金門 ,足背、外果前縁の遠位、第５中足骨粗面の後方、[[立方骨]]下方の陥凹部 ,【膀胱経の郄穴】 ,長腓骨筋腱・短腓骨筋腱<浅腓骨N> ,外側足背皮N ,外果A網(外側足根Aの枝) ,B 
足の太陽膀胱経,京骨 ,足外側、[[第５中足骨粗面の遠位]]、[[赤白肉際 ]],【膀胱の原穴】 ,小指外転筋<外側足底N> ,外側足背皮N ,外側足根Aの枝 ,A 
足の太陽膀胱経,束骨 ,足外側、[[第５中足指節関節外側の近位]]陥凹部、[[赤白肉際 ]],【膀胱経の兪木穴】 ,小指外転筋<外側足底N(脛骨N)> ,外側足背皮N(腓腹Nの枝) ,外背指A ,A 
足の太陽膀胱経,足通谷 ,足の第５指、[[第５中足指節関節外側の遠位]]陥凹部、[[赤白肉際 ]],【膀胱経の滎水穴】 , ,外側足背皮N(腓腹Nの枝) ,外背指A ,A 
足の太陽膀胱経,至陰 ,足の第５指、[[末節骨外側]]、爪甲角の近位外方１分(指寸)、爪甲外側縁の垂線と爪甲基底部の水平線の交点 ,【膀胱経の井金穴】 , ,外側足背皮N(腓腹Nの枝) ,外背指A ,A 
10.足の少陰腎経 ,,,,,,,
経絡,経穴 ,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
足の少陰腎経 ,湧泉 ,足底、足指屈曲時、足底の最陥凹部 ,【腎経の井木穴】 ,足底腱膜・短指屈筋<内側足底N> ,内側足底N ,底側中足A ,S 
足の少陰腎経 ,然谷 ,足内側、[[舟状骨粗面の下方]]、赤白肉際 ,【腎経の滎火穴】 ,後脛骨筋腱(脛骨N)/母指外転筋(内側足底N) ,内側足底N ,内側足底A ,A 
足の少陰腎経 ,太渓 ,足関節後内側、[[内果尖とアキレス腱の間]]の陥凹部 ,【腎経の原穴】 【腎経の兪土穴】 ,長指屈筋(脛骨N)/アキレス腱 ,伏在N ,後脛骨A ,S 
足の少陰腎経 ,大鍾 ,足内側、[[内果後下方]]、踵骨上方、アキレス腱付着部内側前方の陥凹部 ,【腎経の絡穴】 ,アキレス腱 ,伏在N ,後脛骨A ,B 
足の少陰腎経 ,水泉 ,足内側、[[太渓の下方１寸]]、踵骨隆起前方の陥凹部 ,【腎経の郄穴】 , ,伏在N・内側踵骨枝(脛骨Nの技) ,踵骨枝(後脛骨Aの枝) ,A 
足の少陰腎経 ,照海 ,足内側、[[内果尖の下方１寸]]、内果下方の陥凹部 ,【八脈交会穴】 ,後脛骨筋腱・長指屈筋腱<脛骨N> ,伏在N ,後脛骨A ,A 
足の少陰腎経 ,復溜 ,下腿後内側、[[アキレス腱の前縁]]、[[内果尖の上方２寸 ]],【腎経の経金穴】 ,長母指屈筋・長指屈筋・ヒラメ筋<脛骨N>/アキレス腱 ,伏在N ,後脛骨A ,S 
足の少陰腎経 ,交信 ,下腿内側、[[脛骨内縁の後方の陥凹部]]、[[内果尖の上方２寸 ]],【陰蹻脈の郄穴】 ,後脛骨筋・長指屈筋<脛骨N> ,伏在N ,後脛骨A ,B 
足の少陰腎経 ,築賓 ,下腿後内側、[[ヒラメ筋とアキレス腱の間]]、[[内果尖の上方５寸 ]],【陰維脈の郄穴】 ,ヒラメ筋<脛骨N>/アキレス腱 ,伏在N ,後脛骨A ,A 
足の少陰腎経 ,陰谷 ,膝後内側、[[半腱様筋腱の外縁]]、[[膝窩横紋上 ]],【腎経の合水穴】 ,半腱様筋腱・腓腹筋(内側頭)<脛骨N> ,伏在N ,内側下膝A ,A 
足の少陰腎経 ,横骨 ,下腹部、[[臍中央の下方５寸]]、前正中線の[[外方５分 ]], ,錐体筋・腹直筋<肋間N> ,腸骨下腹N(前皮枝)・腸骨鼡径N ,浅腹壁A・下腹壁A ,C 
足の少陰腎経 ,大赫 ,下腹部、臍中央の[[下方４寸]]、前正中線の[[外方５分 ]], ,腹直筋<肋間N> ,腸骨下腹N(前皮枝) ,浅腹壁A・下腹壁A ,C 
足の少陰腎経 ,気穴 ,下腹部、臍中央の[[下方３寸]]、前正中線の[[外方５分 ]], ,腹直筋<肋間N> ,肋間N(前皮枝)・腸骨下腹N(前皮枝) ,浅腹壁A・下腹壁A ,C 
足の少陰腎経 ,四満 ,下腹部、臍中央の[[下方２寸]]、前正中線の[[外方５分 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,浅腹壁A・下腹壁A ,C 
足の少陰腎経 ,中注 ,下腹部、臍中央の[[下方１寸]]、前正中線の[[外方５分 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,浅腹壁A・下腹壁A ,C 
足の少陰腎経 ,肓兪 ,上腹部、[[臍中央の外方５分 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,浅腹壁A・下腹壁A・上腹壁A ,B 
足の少陰腎経 ,商曲 ,上腹部、臍中央の[[上方２寸]]、前正中線の[[外方５分 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,肋間A・上腹壁A ,C 
足の少陰腎経 ,石関 ,上腹部、臍中央の[[上方３寸]]、前正中線の[[外方５分 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,肋間A・上腹壁A ,C 
足の少陰腎経 ,陰都 ,上腹部、臍中央の[[上方４寸]]、前正中線の[[外方５分 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,肋間A・上腹壁A ,C 
足の少陰腎経 ,腹通谷 ,上腹部、臍中央の[[上方５寸]]、前正中線の[[外方５分 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,肋間A・上腹壁A ,C 
足の少陰腎経 ,幽門 ,上腹部、臍中央の[[上方６寸]]、前正中線の[[外方５分 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,肋間A・上腹壁A ,C 
足の少陰腎経 ,歩廊 ,前胸部、[[第５肋間]]、前正中線の[[外方２寸 ]], ,大胸筋<内側・外側胸筋N>/肋間筋<肋間N> ,肋間N(前皮枝) ,胸肩蜂A・内胸A ,C 
足の少陰腎経 ,神封 ,前胸部、[[第４肋間]]、前正中線の[[外方２寸 ]], ,大胸筋<内側・外側胸筋N>/肋間筋<肋間N> ,肋間N(前皮枝) ,胸肩蜂A・内胸A ,C 
足の少陰腎経 ,霊墟 ,前胸部、[[第３肋間]]、前正中線の[[外方２寸 ]], ,大胸筋<内側・外側胸筋N>/肋間筋<肋間N> ,肋間N(前皮枝) ,胸肩峰A・内胸A ,C 
足の少陰腎経 ,神蔵 ,前胸部、[[第２肋間]]、前正中線の[[外方２寸 ]], ,大胸筋<内側・外側胸筋N>/肋間筋<肋間N> ,肋間N(前皮枝) ,胸肩峰A・内胸A ,C 
足の少陰腎経 ,彧中 ,前胸部、[[第１肋間]]、前正中線の[[外方２寸 ]], ,広頸筋<顔面N(頸枝)>/大胸筋<内側・外側胸筋N>/肋間筋<肋間N> ,鎖骨上N・肋間N(前皮技) ,胸肩峰A・内胸A ,C 
足の少陰腎経 ,兪府 ,前胸部、[[鎖骨下縁]]、前正中線の[[外方２寸 ]], ,広頸筋<顔面N(頸枝)>/大胸筋<内側・外側胸筋N>/鎖骨下筋<鎖骨下筋N> ,鎖骨上N ,胸肩峰A・内胸A ,B 
11.手の厥陰心包経 ,,,,,,,
経絡,経穴 ,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
手の厥陰心包経,天池 ,前胸部、[[第４肋間]]、[[前正中線の外方５寸 ]], ,大胸筋・小胸筋<内側・外側胸筋N>/肋間筋<肋間N> ,肋間N(外側皮枝) ,胸肩峰A・外側胸A・肋間A ,B 
手の厥陰心包経,天泉 ,上腕前面、[[上腕二頭筋長頭と短頭の間]]、腋窩横紋前端の下方[[２寸 ]], ,上腕二頭筋<筋皮N> ,内側・外側上腕皮N ,上腕A ,C 
手の厥陰心包経,曲沢 ,肘前面、[[肘窩横紋上]]、[[上腕二頭筋腱内方]]の陥凹部 ,【心包経の合水穴】 ,上腕二頭筋腱・上腕筋<筋皮N> ,内側前腕皮N ,上腕A ,S 
手の厥陰心包経,郄門 ,前腕前面、[[長掌筋腱と橈側手根屈筋腱の間]]、手関節掌側横紋の[[上方５寸 ]],【心包経の郄穴】 ,橈側手根屈筋・長学筋・浅指屈筋<正中N> ,内側・外側前腕皮N ,前骨間A ,A 
手の厥陰心包経,間使 ,前腕前面、[[長掌筋腱と橈側手根屈筋腱の間]]、手関節掌側横紋の[[上方３寸 ]],【心包経の経金穴】 ,橈側手根屈筋・長学筋・浅指屈筋<正中N> ,内側・外側前腕皮N ,前骨間A ,S 
手の厥陰心包経,内関 ,前腕前面、[[長掌筋腱と橈側手根屈筋腱の間]]、手関節掌側横紋の[[上方２寸 ]],【心包経の絡穴】 【八脈交会穴】 ,橈側手根屈筋・長学筋・浅指屈筋<正中N> ,内側・外側前腕皮N ,前骨間A ,S 
手の厥陰心包経,大陵 ,手関節前面、[[長掌筋腱と橈側手根屈筋腱の間]]、[[手関節掌側横紋上 ]],【心包の原穴】 【心包経の兪土穴】 ,橈側手根屈筋・長学筋・浅指屈筋<正中N> ,内側・外側前腕皮N ,総側手根A網 ,S 
手の厥陰心包経,労宮 ,手掌、第２・第３中手骨間、中手指節関節の近位陥凹部 ,【心包経の滎火穴】 ,浅指屈筋腱・虫様筋(第2)<正中N> ,正中N(総掌側指N) ,総掌側指A ,A 
手の厥陰心包経,中衝 ,中指、[[中指先端]]中央 ,【心包経の井木穴】 , ,正中N(固有掌側指N) ,背側指A ,A 
12.手の少陽三焦経 ,,,,,,,
経絡,経穴 ,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
手の少陽三焦経 ,関衝 ,薬指、末節骨[[尺側]]、爪甲角の近位内方１分(指寸)、爪甲尺側縁の垂線と爪甲基底部の水平線の交点 ,【三焦経の井金穴】 , ,尺骨N(背側指N) ,背側指A ,A 
手の少陽三焦経 ,液門 ,手背、[[薬指と小指の間]]、[[みずかき]]の近位陥凹部、赤白肉際 ,【三焦経の滎水穴】 ,第4背側骨間筋<尺骨N> ,尺骨N(背側指N) ,背側指A ,A 
手の少陽三焦経 ,中渚 ,手背、第４・第５中手骨間、第４中手指節関節の近位陥凹部 ,【三焦経の兪木穴】 ,第4背側骨間筋<尺骨N> ,尺骨N(背側指N) ,背側指A ,S 
手の少陽三焦経 ,陽池 ,手関節後面、[[総指伸筋腱の尺側陥凹部]]、[[手関節背側横紋上 ]],【三焦の原穴】 ,総指伸筋腱・小指伸筋腱<橈骨N> ,後前腕皮N・橈骨N浅枝 ,背側手根A網 ,A 
手の少陽三焦経 ,外関 ,前腕後面、[[橈骨と尺骨の骨間の中点]]、手関節背側横紋の上方[[２寸 ]],【三焦経の絡穴】 【八脈交会穴】 ,総指伸筋腱・小指伸筋腱<橈骨N> ,後前腕皮N ,後骨間A ,S 
手の少陽三焦経 ,支溝 ,前腕後面、[[橈骨と尺骨の骨間の中点]]、手関節背側横紋の上方[[３寸 ]],【三焦経の経火穴】 ,総指伸筋腱・小指伸筋腱<橈骨N> ,後前腕皮N ,後骨間A ,S 
手の少陽三焦経 ,会宗 ,前腕後面、[[尺骨の橈側縁]]、手関節背側横紋の上方[[３寸 ]],【三焦経の郄穴】 ,小指伸筋腱・尺側手根伸筋腱<橈骨N> ,後前腕皮N ,後骨間A ,B 
手の少陽三焦経 ,三陽絡 ,前腕後面、[[橈骨と尺骨の骨間の中点]]、手関節背側横紋の[[上方４寸 ]], ,総指伸筋腱・小指伸筋腱<橈骨N> ,後前腕皮N ,後骨間A ,C 
手の少陽三焦経 ,四瀆 ,前腕後面、[[橈骨と尺骨の骨間の中点]]、[[肘頭の下方５寸 ]], ,総指伸筋腱・小指伸筋腱<橈骨N> ,後前腕皮N ,後骨間A ,A 
手の少陽三焦経 ,天井 ,肘後面、[[肘頭の上方１寸]]、陥凹部 ,【三焦経の合土穴】 ,上腕三頭筋の共通腱<橈骨N> ,後上腕皮N ,中側副A(上腕深Aの枝) ,B 
手の少陽三焦経 ,清冷淵 ,上腕後面、肘頭と肩峰角を結ぶ線上、[[肘頭の上方２寸 ]], ,上腕三頭筋の共通腱<橈骨N> ,後上腕皮N ,中側副A(上腕深Aの枝) ,C 
手の少陽三焦経 ,消濼 ,上腕後面、肘頭と肩峰角を結ぶ線上、[[肘頭の上方５寸 ]], ,上腕三頭筋<橈骨N> ,後上腕皮N ,中側副A(上腕深Aの枝) ,B 
手の少陽三焦経 ,臑会 ,上腕後面、[[三角筋の後下縁]]、肩峰角の下方[[３寸 ]], ,三角筋<腋窩N>/上腕三頭筋<橈骨N> ,上外側上腕皮N・後上腕皮N ,後上腕回旋A ,A 
手の少陽三焦経 ,肩髎 ,肩周囲部、[[肩峰角と上腕骨大結節の間]]の陥凹部 , ,三角筋<腋窩N> ,鎖骨上N ,後上腕回旋A ,A 
手の少陽三焦経 ,天髎 ,肩甲部、[[肩甲骨上角の上方]]陥凹部 , ,僧帽筋<副N・頸N叢の枝＞ ,鎖骨上N ,頸横A浅枝 ,B 
手の少陽三焦経 ,天牖 ,前頸部、[[下顎角と同じ高さ]]、[[胸鎖乳突筋後方]]の陥凹部 , ,胸鎖乳突筋<副N・頸N叢の枝>/頭板状筋<脊髄N後枝> ,小後頭N ,浅頸A ,C 
手の少陽三焦経 ,翳風 ,前頸部、[[耳垂後方]]、[[乳様突起下端前方]]の陥凹部 , ,顎二腹筋後腹<顏面N(顎二腹筋枝)> ,大耳介N ,後耳介A ,S 
手の少陽三焦経 ,瘈脈 ,頭部、乳様突起の中央、翳風と角孫を結ぶ(耳の輪郭に沿った)曲線状、[[翳風から３分の１ ]], ,後耳介筋<顏面N(後耳介N)> ,大耳介N ,後耳介A ,C 
手の少陽三焦経 ,顱息 ,頭部、翳風と角孫を結ぶ(耳の輪郭に沿った)曲線状、[[翳風から３分の２ ]], , ,大耳介N ,後耳介A ,C 
手の少陽三焦経 ,角孫 ,頭部、[[耳尖]]のあたるところ , ,上耳介筋<顔面N(後耳介N・側頭枝)>/側頭筋<下顎N(三叉N第3枝)> ,下顎N(三叉N第3枝) ,浅側頭Aの枝 ,C 
手の少陽三焦経 ,耳門 ,顔面部、[[耳珠上の切痕]]と下顎骨の関節突起の間、陥凹部 , , ,下顎N(三叉N第3枝) ,浅側頭A ,A 
手の少陽三焦経 ,和髎 ,頭部、[[もみあげの後方]]、耳介の付け根の前方、[[浅側頭動脈の後方 ]], ,前耳介筋<顏面N(側頭枝)> ,下顎N(三叉N第3枝) ,浅側頭A ,C 
手の少陽三焦経 ,糸竹空 ,頭部、[[眉毛外端]]の陥凹部 , ,眼輪筋<顏面N(側頭枝・頬骨枝)> ,眼N(三叉N第1枝)・上顎N(三叉N第2枝) ,浅側頭A ,A 
13.足の少陽胆経 ,,,,,,,
経絡,経穴 ,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
足の少陽胆経 ,瞳子髎 ,頭部、[[外眼角]]の外方５分、陥凹部 , ,眼輪筋<顏面N(側頭枝・頬骨枝)> ,上顎N(三叉N第2枚) ,浅側頭Aの枝 ,A 
足の少陽胆経 ,聴会 ,顔面部、[[珠間切痕]]と下顎骨関節突起の間、陥凹部 , , ,下顎N(三叉N第3枚) ,浅側頭A ,S 
足の少陽胆経 ,上関 ,頭部、[[頬骨弓中央の上際]]陥凹部 , ,側頭筋<下顎N(深側頭N)> ,下顎N(三叉N第3枚) ,浅側頭Aの枝 ,C 
足の少陽胆経 ,頷厭 ,頭部、頭維と曲鬢を結ぶ(側頭の髪際に沿った)曲線状、[[頭維から４分の１ ]], ,側頭頭頂筋<顏面N(側頭枝)>/側頭筋<下顎N(深側頭N)> ,下顎N(三叉N第3枚) ,浅側頭A(前頭枝) ,C 
足の少陽胆経 ,懸顱 ,頭部、[[頭維と曲鬢を結ぶ(側頭の髪際に沿った)曲線上の中点 ]], ,側頭頭頂筋<顏面N(側頭枝)>/側頭筋<下顎N(深側頭N)> ,下顎N(三叉N第3枚) ,浅側頭A(前頭枝) ,C 
足の少陽胆経 ,懸釐 ,頭部、頭維と曲鬢を結ぶ(側頭の髪際に沿った)曲線上、[[頭維から４分の３ ]], ,側頭頭頂筋<顏面N(側頭枝)>/側頭筋<下顎N(深側頭N)> ,下顎N(三叉N第3枚) ,浅側頭A(前頭枝) ,C 
足の少陽胆経 ,曲鬢 ,頭部、[[もみあげ]]の後縁の垂線と[[耳尖]]の水平線の[[交点 ]], ,側頭頭頂筋<顏面N(側頭枝)>/側頭筋<下顎N(深側頭N)> ,下顎N(三叉N第3枚) ,浅側頭A ,B 
足の少陽胆経 ,率谷 ,頭部、[[耳尖の直上]]、[[髪際の上方１寸５分 ]], ,側頭頭頂筋<顏面N(側頭枝)>/側頭筋<下顎N(深側頭N)> ,下顎N(三叉N第3枚)・小後頭N ,浅側頭Aの枝 ,A 
足の少陽胆経 ,天衝 ,頭部、[[耳介の付け根]]の後縁の直上、髪際の[[上方２寸 ]], ,側頭頭頂筋<顏面N(側頭枝)>/側頭筋<下顎N(深側頭N)> ,小後頭N ,浅側頭Aの枝 ,C 
足の少陽胆経 ,浮白 ,頭部、乳様突起の後上方、天衝と完骨を結ぶ(耳の輪郭に沿った)曲線状、[[天衝から３分の１ ]], ,側頭頭頂筋<顏面N(側頭枝)>/側頭筋<下顎N(深側頭N)> ,小後頭N ,後耳介A ,C 
足の少陽胆経 ,頭竅陰 ,頭部、乳様突起の後上方、天衝と完骨を結ぶ(耳の輪郭に沿った)曲線状、[[天衝から３分の２ ]], ,後頭筋<顔面N(後頭枝)> ,小後頭N ,後耳介A ,C 
足の少陽胆経 ,完骨 ,前頸部、[[乳様突起の後下方]]、陥凹部 , ,胸鎖乳突筋<副N・頸N叢の枝>/頭板状筋<脊髄N後枝> ,小後頭N ,後頭A ,A 
足の少陽胆経 ,本神 ,頭部、[[前髪際の後方５分]]、前正中線の[[外方３寸 ]], ,前頭筋<顔面N(側頭枝)> ,眼N(三叉N第1枝) ,眼窩上A ,B 
足の少陽胆経 ,陽白 ,頭部、[[眉の上方１寸]]、[[瞳孔線上 ]], ,前頭筋<顔面N(側頭枝)> ,眼N(三叉N第1枝) ,眼窩上A ,A 
足の少陽胆経 ,頭臨泣 ,頭部、[[前髪際から入ること５分]]、[[瞳孔線上 ]], ,前頭筋<顔面N(側頭枝)> ,眼N(三叉N第1枝) ,眼窩上A ,B 
足の少陽胆経 ,目窓 ,頭部、前髪際から入ること[[１寸５分]]、[[瞳孔線上 ]], ,帽状腱膜 ,眼N(三叉N第1枝) ,眼窩上A・浅側頭A(前頭枝) ,C 
足の少陽胆経 ,正営 ,頭部、前髪際から入ること[[２寸５分]]、[[瞳孔線上 ]], ,帽状腱膜 ,眼N(三叉N第1枝) ,眼窩上A・浅側頭A(前頭枝) ,C 
足の少陽胆経 ,承霊 ,頭部、前髪際から入ること[[４寸]]、[[瞳孔線上 ]], ,帽状腱膜 ,眼N(三叉N第1枝)・大後頭N ,眼窩上A・浅側頭A(前頭枝)・後頭A ,C 
足の少陽胆経 ,脳空 ,頭部、[[外後頭隆起上縁]]と同じ高さ、[[風池の直上 ]], ,後頭筋<顔面N(後頭枝)> ,大後頭N ,後頭A ,C 
足の少陽胆経 ,風池 ,前頸部、[[後頭骨の下方]]、胸鎖乳突筋と僧帽筋の起始部の間、陥凹部 , ,胸鎖乳突筋・僧帽筋<副N・頸N叢の枝>/頭板状筋・頭半棘筋<脊髄N後枝> ,頸N後枝 ,後頭A ,S 
足の少陽胆経 ,肩井 ,後頸部、[[第７頸椎棘突起と肩峰外縁を結ぶ線上の中点 ]], ,僧帽筋く副N・頸N叢の枝> ,鎖骨上N ,頸橫A ,A 
足の少陽胆経 ,淵腋 ,側胸部、[[第４肋間]]、[[中腋窩線上 ]], ,前鋸筋<長胸N>/肋間筋<肋間N> ,肋間N(外側皮枝) ,外側胸A・胸背A・肋間A ,C 
足の少陽胆経 ,輒筋 ,側胸部、[[第４肋間]]、[[中腋窩線の前方１寸 ]], ,前鋸筋<長胸N>/肋間筋<肋間N> ,肋間N(外側皮枝) ,外側胸A・胸背A・肋間A ,C 
足の少陽胆経 ,日月 ,前胸部、[[第７肋間]]、[[前正中線の外方４寸 ]],【胆の募穴】 ,大胸筋<内側・外側胸筋N> ,肋間N(前皮枝・外側皮枝) ,肋間A ,A 
足の少陽胆経 ,京門 ,側腹部、[[第１２肋骨端下縁 ]],【腎の募穴】 ,広背筋<胸背N>/外腹斜筋・内腹斜筋<肋間N・腸骨下腹N/腸骨鼡径N＞ ,肋間N(外側皮枝) ,肋間A ,A 
足の少陽胆経 ,帯脈 ,側腹部、[[第１１肋骨端下方]]、[[臍中央と同じ高さ ]], ,外腹斜筋・内腹斜筋<肋間N・腸骨下腹N＞ ,肋間N(外側皮枝) ,肋間A ,B 
足の少陽胆経 ,五枢 ,下腹部、[[臍中央の下方３寸]]、[[上前腸骨棘の内方 ]], ,外腹斜筋・内腹斜筋<肋間N・腸骨下腹N＞ ,腸骨下腹N(外側皮枝) ,浅・深腸骨回旋A ,C 
足の少陽胆経 ,維道 ,下腹部、[[上前腸骨棘の内下方５分 ]], ,外腹斜筋・内腹斜筋<肋間N・腸骨下腹N＞ ,腸骨下腹N(外側皮枝) ,浅・深腸骨回旋A ,C 
足の少陽胆経 ,居髎 ,殿部、[[上前腸骨棘と大転子頂点の中点 ]], ,大腿筋膜張筋・中殿筋<上殿N> ,上殿皮N・腸骨下腹N(外側皮枝) ,外側大腿回旋A(上行枝)・上殿A ,A 
足の少陽胆経 ,環跳 ,殿部、大転子の頂点と仙骨裂孔を結ぶ線上、[[大転子頂点から３分の１ ]], ,大殿筋<下殿N> ,上殿皮N・下殿皮N ,上殿A・下殿A ,S 
足の少陽胆経 ,風市 ,大腿部外側、直立して腕を下垂し、手掌を大腿部に付けたとき、[[中指の先端があたる腸脛靭帯の後方]]陥凹部 , ,腸脛靱帯/大腿二頭筋長頭<脛骨N>/大腿二頭筋短頭<総腓骨N>/外側広筋<大腿N> ,外側大腿皮N ,外側大腿回旋A(下行枝) ,S 
足の少陽胆経 ,中瀆 ,大腿部外側、[[腸脛靭帯の後方]]で、膝窩横紋の[[上方７寸 ]], ,腸脛靱帯/大腿二頭筋長頭<脛骨N>/大腿二頭筋短頭<総腓骨N>/外側広筋<大腿N> ,外側大腿皮N ,外側大腿回旋A(下行枝) ,C 
足の少陽胆経 ,膝陽関 ,膝外側、[[大腿二頭筋腱と腸脛靭帯の間]]の陥凹部、大腿骨外側上顆の後上縁 , ,腸脛靱帯/大腿二頭筋長頭<脛骨N>/大腿二頭筋短頭<総腓骨N> ,外側大腿皮N ,外側上膝A ,A 
足の少陽胆経 ,陽陵泉 ,下腿外側、[[腓骨頭前下方]]の陥凹部 ,【胆経の合土穴】 【八会穴の筋会】 【胆の下合穴】 ,長腓骨筋<浅腓骨N> ,外側腓腹皮N ,腓骨回旋枝(後脛骨A) ,S 
足の少陽胆経 ,陽交 ,下腿外側、[[腓骨の後方]]、外果尖の[[上方７寸 ]],【陽維脈の郄穴】 ,長腓骨筋<浅腓骨N>/ヒラメ筋<脛骨N> ,外側腓腹皮N ,前脛骨Aの枚 ,B 
足の少陽胆経 ,外丘 ,下腿外側、腓骨の[[前方]]、外果尖の[[上方７寸 ]],【胆経の郄穴】 ,長腓骨筋<浅腓骨N> ,外側腓腹皮N ,前脛骨Aの技 ,B 
足の少陽胆経 ,光明 ,下腿外側、腓骨の[[前方]]、外果尖の[[上方５寸 ]],【胆経の絡穴】 ,長腓骨筋・短腓骨筋<浅腓骨N> ,外側腓腹皮N ,前脛骨Aの技 ,A 
足の少陽胆経 ,陽輔 ,下腿外側、腓骨の[[前方]]、外果尖の[[上方４寸 ]],【胆経の経火穴】 ,短腓骨筋<浅腓骨N> ,外側腓腹皮N・浅腓骨N ,前脛骨Aの技 ,B 
足の少陽胆経 ,懸鍾 ,下腿外側、腓骨の[[前方]]、外果尖の[[上方３寸 ]],【八会穴の髄会】 ,短腓骨筋<浅腓骨N> ,外側腓腹皮N・浅腓骨N ,前脛骨Aの技 ,S 
足の少陽胆経 ,丘墟 ,足関節前外側、長指伸筋腱外側の陥凹部、[[外果尖の前下方 ]],【胆の原穴】 ,長指伸筋腱<深腓骨N> ,浅腓骨N ,外果A網 ,S 
足の少陽胆経 ,足臨泣 ,足背、[[第４・第５中足骨底接合部の遠位]]、[[第５指の長指伸筋腱外側の陥凹部 ]],【胆経の兪木穴】 【八脈交会穴】 ,第4背側骨間筋<外側足底N> ,浅腓骨N ,第4背側中足A ,A 
足の少陽胆経 ,地五会 ,足背、[[第４・第５]]中足骨間、第４[[中足指節関節の近位]]陥凹部 , ,第4背側骨間筋<外側足底N> ,浅腓骨N ,第4背側中足A ,C 
足の少陽胆経 ,侠渓 ,足背、[[第４・第５]]指間、[[みずかき]]の近位、赤白肉際 ,【胆経の滎水穴】 ,第4背側骨間筋<外側足底N> ,浅腓骨N ,背側指A ,A 
足の少陽胆経 ,足竅陰 ,足の[[第４指]]、末節骨[[外側]]、爪甲角の近位外方１分(指寸)爪甲外側縁の垂線と爪甲基底部の水平線との交点 ,【胆経の井金穴】 , ,浅腓骨N ,背側指A ,A 
14足の厥陰肝経 ,,,,,,,
 経絡,経穴 ,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
足の厥陰肝経 ,大敦 ,足の第１指、末節骨[[外側]]、爪甲角の近位外方１分(指寸)、爪甲外側縁の垂線と爪甲基底部の水平線の交点 ,【肝経の井木穴】 , ,深腓骨N ,背側指A ,A 
足の厥陰肝経 ,行間 ,足背、[[第１・第２指間]]、[[みずかき]]の近位、赤白肉際 ,【肝経の滎火穴】 , ,深腓骨N ,背側指A ,S 
足の厥陰肝経 ,太衝 ,足背、[[第１・第２]]中足骨間、[[中足骨底接合部遠位]]の陥凹部、[[足背動脈拍動部 ]],【肝の原穴】 【肝経の兪土穴】 ,第1背側骨間筋<外側足底N> ,深腓骨N ,足背A ,S 
足の厥陰肝経 ,中封 ,足関節前内側、[[前脛骨筋腱内側]]の陥凹部、[[内果尖の前方 ]],【肝経の経金穴】 ,前脛骨筋腱<深腓骨N> ,伏在N ,前内果A ,A 
足の厥陰肝経 ,蠡溝 ,下腿前内側、[[脛骨内側面の中央]]、内果尖の[[上方５寸 ]],【肝経の絡穴】 , ,伏在N ,下行膝Aの技 ,A 
足の厥陰肝経 ,中都 ,下腿前内側、[[脛骨内側面の中央]]、内果尖の[[上方７寸 ]],【肝経の郄穴】 , ,伏在N ,下行膝Aの技 ,B 
